atomicNum,symbol,name,category,period,group,atomicMass,state,fpos
53,I,Iodine,reactive-nonmetal,5,17,126.904,solid,0
54,Xe,Xenon,noble-gas,5,18,131.293,gas,0
55,Cs,Cesium,alkali-metal,6,1,132.905,solid,0
56,Ba,Barium,alkaline-earth,6,2,137.327,solid,0
57,La,Lanthanum,lanthanide,6,0,138.905,solid,1
58,Ce,Cerium,lanthanide,6,0,140.116,solid,2
59,Pr,Praseodymium,lanthanide,6,0,140.908,solid,3
60,Nd,Neodymium,lanthanide,6,0,144.242,solid,4
61,Pm,Promethium,lanthanide,6,0,145.000,solid,5
62,Sm,Samarium,lanthanide,6,0,150.360,solid,6
63,Eu,Europium,lanthanide,6,0,151.964,solid,7
64,Gd,Gadolinium,lanthanide,6,0,157.250,solid,8
65,Tb,Terbium,lanthanide,6,0,158.925,solid,9
66,Dy,Dysprosium,lanthanide,6,0,162.500,solid,10
67,Ho,Holmium,lanthanide,6,0,164.930,solid,11
68,Er,Erbium,lanthanide,6,0,167.259,solid,12
69,Tm,Thulium,lanthanide,6,0,168.934,solid,13
70,Yb,Ytterbium,lanthanide,6,0,173.054,solid,14
71,Lu,Lutetium,lanthanide,6,0,174.967,solid,15
72,Hf,Hafnium,transition-metal,6,4,178.490,solid,0
73,Ta,Tantalum,transition-metal,6,5,180.948,solid,0
74,W,Tungsten,transition-metal,6,6,183.840,solid,0
75,Re,Rhenium,transition-metal,6,7,186.207,solid,0
76,Os,Osmium,transition-metal,6,8,190.230,solid,0
77,Ir,Iridium,transition-metal,6,9,192.217,solid,0
78,Pt,Platinum,transition-metal,6,10,195.084,solid,0
79,Au,Gold,transition-metal,6,11,196.967,solid,0
80,Hg,Mercury,transition-metal,6,12,200.592,liquid,0
81,Tl,Thallium,post-transition,6,13,204.380,solid,0
82,Pb,Lead,post-transition,6,14,207.200,solid,0
83,Bi,Bismuth,post-transition,6,15,208.980,solid,0
84,Po,Polonium,post-transition,6,16,209.000,solid,0
85,At,Astatine,metalloid,6,17,210.000,solid,0
86,Rn,Radon,noble-gas,6,18,222.000,gas,0
87,Fr,Francium,alkali-metal,7,1,223.000,solid,0
88,Ra,Radium,alkaline-earth,7,2,226.000,solid,0
89,Ac,Actinium,actinide,7,0,227.000,solid,1
90,Th,Thorium,actinide,7,0,232.038,solid,2
91,Pa,Protactinium,actinide,7,0,231.036,solid,3
92,U,Uranium,actinide,7,0,238.029,solid,4
93,Np,Neptunium,actinide,7,0,237.000,solid,5
94,Pu,Plutonium,actinide,7,0,244.000,solid,6
95,Am,Americium,actinide,7,0,243.000,solid,7
96,Cm,Curium,actinide,7,0,247.000,solid,8
97,Bk,Berkelium,actinide,7,0,247.000,solid,9
98,Cf,Californium,actinide,7,0,251.000,solid,10
99,Es,Einsteinium,actinide,7,0,252.000,solid,11
100,Fm,Fermium,actinide,7,0,257.000,solid,12
101,Md,Mendelevium,actinide,7,0,258.000,solid,13
102,No,Nobelium,actinide,7,0,259.000,solid,14
103,Lr,Lawrencium,actinide,7,0,262.000,solid,15
104,Rf,Rutherfordium,transition-metal,7,4,267.000,solid,0
105,Db,Dubnium,transition-metal,7,5,268.000,solid,0
106,Sg,Seaborgium,transition-metal,7,6,271.000,solid,0
107,Bh,Bohrium,transition-metal,7,7,274.000,solid,0
108,Hs,Hassium,transition-metal,7,8,277.000,solid,0
109,Mt,Meitnerium,unknown,7,9,278.000,solid,0
110,Ds,Darmstadtium,unknown,7,10,281.000,solid,0
111,Rg,Roentgenium,unknown,7,11,282.000,solid,0
112,Cn,Copernicium,transition-metal,7,12,285.000,gas,0
113,Nh,Nihonium,unknown,7,13,286.000,solid,0
114,Fl,Flerovium,post-transition,7,14,289.000,solid,0
115,Mc,Moscovium,unknown,7,15,290.000,solid,0
116,Lv,Livermorium,unknown,7,16,293.000,solid,0
117,Ts,Tennessine,unknown,7,17,294.000,solid,0
118,Og,Oganesson,noble-gas,7,18,294.000,gas,0
